Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999,Team,Salary,Cash Spent
1,Christian McCaffrey,SFO,27,RB,8,8,137,652,9,38,54.7,65,4.8,81.5,3,McCaCh01,49ers,3424000,12000000
2,Zack Moss,IND,26,RB,7,5,125,589,5,30,48.0,56,4.7,84.1,0,MossZa00,Colts,1169260,1169260
3,Travis Etienne,JAX,24,RB,8,8,151,583,7,31,47.7,35,3.9,72.9,0,EtieTr00,Jaguars,3517666,1832556
4,D'Andre Swift,PHI,24,RB,8,7,117,571,3,29,57.3,43,4.9,71.4,1,SwifDA00,Eagles,1774399,1774399
5,Derrick Henry,TEN,29,RB,7,7,120,526,3,24,48.3,63,4.4,75.1,0,HenrDe00,Titans,16367647,10500000
6,Raheem Mostert,MIA,31,RB,8,8,97,520,10,28,56.7,49,5.4,65.0,3,MostRa00,Dolphins,2187941,2855000
7,Kenneth Walker III,SEA,23,RB,7,7,117,516,6,26,48.7,45,4.4,73.7,0,WalkKe00,Seahawks,1918541,1088708
8,James Cook,BUF,24,RB,8,5,102,486,1,26,57.8,36,4.8,60.8,0,CookJa01,Bills,1325469,970094
9,Bijan Robinson,ATL,21,RB,8,7,92,466,1,24,45.7,38,5.1,58.3,1,RobiBi01,Falcons,3992462,13719848
10,De'Von Achane,MIA,22,RB,4,1,38,460,5,15,71.1,76,12.1,115.0,1,AchaDe00,Dolphins,771960,750000
11,Isiah Pacheco,KAN,24,RB,8,7,108,459,3,26,50.0,48,4.3,57.4,0,PachIs00,Chiefs,889777,870000
12,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,60.8,31,4.7,76.0,1,WillKy02,Rams,947602,870000
13,Joe Mixon,CIN,27,RB,7,7,112,453,2,26,50.0,22,4.0,64.7,0,MixoJo00,Bengals,8460000,5750000
14,Breece Hall,NYJ,22,RB,7,7,78,443,2,15,42.3,83,5.7,63.3,2,HallBr03,Jets,2048811,1114762
15,Gus Edwards,BAL,28,RB,8,3,105,426,5,26,54.3,20,4.1,53.3,1,EdwaGu00,Ravens,2794000,3384000
16,Tony Pollard,DAL,26,RB,7,7,108,423,2,23,48.1,31,3.9,60.4,2,PollTo00,Cowboys,10091000,10091000
17,Saquon Barkley,NYG,26,RB,5,5,110,412,1,17,38.2,34,3.7,82.4,1,BarkSa00,Giants,10091000,10091000
18,Josh Jacobs,LVR,25,RB,8,8,133,408,3,20,47.4,24,3.1,51.0,1,JacoJo01,Raiders,11791000,11791000
